doi,article_trial_or_failure,article_trial_or_failure_notes,mof_name,crystal_code,metal_1,metal_1_abbr,metal_1_amount_text,metal_1_amount_value,metal_1_amount_unit,metal_2,metal_2_abbr,metal_2_amount_text,metal_2_amount_value,metal_2_amount_unit,metal_3,metal_3_abbr,metal_3_amount_text,metal_3_amount_value,metal_3_amount_unit,linker_1,linker_1_abbr,linker_1_amount_text,linker_1_amount_value,linker_1_amount_unit,linker_2,linker_2_abbr,linker_2_amount_text,linker_2_amount_value,linker_2_amount_unit,linker_3,linker_3_abbr,linker_3_amount_text,linker_3_amount_value,linker_3_amount_unit,modulator_1,modulator_1_abbr,modulator_1_amount_text,modulator_1_amount_value,modulator_1_amount_unit,modulator_2,modulator_2_abbr,modulator_2_amount_text,modulator_2_amount_value,modulator_2_amount_unit,solvent_main,solvent_main_abbr,solvent_main_amount_text,solvent_main_ml,solvent_secondary,solvent_secondary_abbr,solvent_secondary_amount_text,solvent_secondary_ml,temperature_c,temperature_c_text,time_h,time_text,vessel_type,stirring,washing_solvent,washing_cycles,activation_text,activation_temp_c,activation_time_h,crystal_morphology,yield_percent,crystal_size,topology_code,metal_cluster_connectivity,unit_cell_short,pore_diameter_A,BET_surface_area_m2g,air_stable,water_stable,tga_decomposition_temp_c,applications,reference,status,error
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956418,Pr(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,35,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,,,10.1021/cg401825f,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956419,Sm(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,37,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,309,,10.1021/cg401825f,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956420,Eu(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,25,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,,luminescence,10.1021/cg401825f,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956421,Gd(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,30,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,305,,10.1021/cg401825f,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956422,Tb(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,20,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,,,10.1021/cg401825f,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956423,Dy(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,32,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,,,10.1021/cg401825f,ok,
10.1021/cg401825f,yes,"No suitable product at 100, 140, 160 °C; above pH 6.0 gave amorphous products.",,956424,Er(NO3)3,,0.5 mmol,0.5,mmol,,,,,,,,,,,"1,4-naphthalenedicarboxylic acid",H2NDC,0.5 mmol,0.5,mmol,,,,,,,,,,,"bis(2,2′-biimidazole)",BBI,0.5 mmol,0.5,mmol,,,,,,water,H2O,10 mL,10,,,,,120,120 °C,72,3 days,Teflon-lined autoclave,static,,,,,,block single crystals,23,,,"dinuclear Ln SBU; (8,8)-connected net",,,,yes,not_reported,,,10.1021/cg401825f,ok,
10.1039/c2ce25081k,yes,Changing solvent system or metal salt anion gave only crystalline powder; other stoichiometries gave very low yield.,,,Cu(ClO4)2·6H2O,,"74.2 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",H3MOPhIDC,"26.2 mg, 0.1 mmol",0.1,mmol,,,,,,,,,,,triethylamine,Et3N,"0.028 mL, 0.2 mmol",0.2,mmol,,,,,,water,H2O,"MeOH/H2O (3:4), 7 mL total",7,methanol,MeOH,"MeOH/H2O (3:4), 7 mL total",,150,150 °C,96,96 h,25 mL Teflon-lined stainless steel autoclave,,water,,,,,block-shaped black crystals,67,,,,,,,not_reported,not_reported,,magnetism,10.1039/c2ce25081k,ok,
10.1039/c2ce25081k,yes,Changing solvent system or metal salt anion gave only crystalline powder; other stoichiometries gave very low yield.,,,Zn(CH3COO)2·2H2O,,"22.0 mg, 0.1 mmol",0.1,mmol,,,,,,,,,,,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",H3MOPhIDC,"26.2 mg, 0.1 mmol",0.1,mmol,"2,2'-bipyridine",bipy,"15.6 mg, 0.1 mmol",0.1,mmol,,,,,,triethylamine,Et3N,pH adjusted to 8.0 (volume not specified),,,,,,,,ethanol,EtOH,"EtOH/H2O (4:3), 7 mL total",7,water,H2O,"EtOH/H2O (4:3), 7 mL total",,160,160 °C,72,72 h,25 mL Teflon-lined autoclave,stirred 15 min before sealing,water,,,,,block-shaped colorless crystals,61,,,,,,,not_reported,not_reported,347,luminescence,10.1039/c2ce25081k,ok,
10.1039/c2ce25081k,yes,Changing solvent system or metal salt anion gave only crystalline powder; other stoichiometries gave very low yield.,,,Co(NO3)2·6H2O,,"58.2 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",H3MOPhIDC,"52.4 mg, 0.2 mmol",0.2,mmol,"2,2'-bipyridine",bipy,"31.2 mg, 0.2 mmol",0.2,mmol,,,,,,triethylamine,Et3N,"0.056 mL, 0.4 mmol",0.4,mmol,,,,,,ethanol,EtOH,"EtOH/H2O (4:3), 7 mL total",7,water,H2O,"EtOH/H2O (4:3), 7 mL total",,160,160 °C,72,72 h,25 mL Teflon-lined stainless steel autoclave,stirred 15 min before sealing,water,,,,,red block-shaped crystals,58,,,,,,,not_reported,not_reported,375,magnetism,10.1039/c2ce25081k,ok,
10.1039/c2ce25081k,yes,Changing solvent system or metal salt anion gave only crystalline powder; other stoichiometries gave very low yield.,,,Co(NO3)2·6H2O,,"58.2 mg, 0.2 mmol",0.2,mmol,,,,,,,,,,,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",H3MOPhIDC,"52.4 mg, 0.2 mmol",0.2,mmol,"1,10-phenanthroline",phen,"39.6 mg, 0.2 mmol",0.2,mmol,,,,,,triethylamine,Et3N,"0.056 mL, 0.4 mmol",0.4,mmol,,,,,,ethanol,EtOH,"EtOH/H2O (4:3), 7 mL total",7,water,H2O,"EtOH/H2O (4:3), 7 mL total",,160,160 °C,72,72 h,25 mL Teflon-lined stainless steel autoclave,,water,,,,,red prism-shaped crystals,53,,,,,,,yes,not_reported,371,magnetism,10.1039/c2ce25081k,ok,
10.1039/c2ce25081k,yes,Changing solvent system or metal salt anion gave only crystalline powder; other stoichiometries gave very low yield.,,,CoCl2·6H2O,,"23.8 mg, 0.1 mmol",0.1,mmol,,,,,,,,,,,"2-p-methoxyphenyl-1H-imidazole-4,5-dicarboxylic acid",H3MOPhIDC,"26.2 mg, 0.1 mmol",0.1,mmol,pyridine,py,0.2 mL (also serves as coligand),,,,,,,,,,,,,,,,,,water,H2O,7 mL,7,,,,,160,160 °C,72,72 h,25 mL Teflon-lined stainless steel autoclave,,water,,,,,red block-shaped crystals,65,,,,,,,not_reported,not_reported,377,magnetism,10.1039/c2ce25081k,ok,
10.1021/acs.inorgchem.9b01408,yes,"Required months to find suitable conditions (concentration, temperature, time, ratios) for Hf-HHU-1.",Hf-HHU-2,,HfCl4,HfCl4,320 mg (1 mmol),1,mmol,,,,,,,,,,,acetylenedicarboxylic acid,H2ADC,342 mg (3 mmol),3,mmol,,,,,,,,,,,acetic acid,,2.5 mL,2.5,mL,,,,,,water,H2O,2.5 mL,2.5,,,,,85,85 °C,6,6 h,screw-capped glass vial,static,"water, MeOH",3× each (5 mL),120 °C under vacuum for 6 h,120,6,white microcrystalline powder,343 mg (isolated),,fcu,Hf6O4(OH)4 12-connected SBU,,,541,not_reported,yes,300,water_harvesting;CO2_capture;I2 delivery,10.1021/acs.inorgchem.9b01408,ok,
10.1021/acs.inorgchem.9b01408,yes,"Required months to find suitable conditions (concentration, temperature, time, ratios) for Hf-HHU-1.",Hf-HHU-2 (defect nanodomains),,HfCl4,HfCl4,320 mg (1 mmol),1,mmol,,,,,,,,,,,acetylenedicarboxylic acid,H2ADC,114 mg (1 mmol),1,mmol,,,,,,,,,,,acetic acid,,2.5 mL,2.5,mL,,,,,,water,H2O,2.5 mL,2.5,,,,,85,85 °C,6,6 h,screw-capped glass vial,static,"water, MeOH",3× each (5 mL),120 °C under vacuum for 6 h,120,6,white microcrystalline powder,343 mg (isolated),,fcu,Hf6O4(OH)4 12-connected SBU,,,302,not_reported,no,300,water_harvesting,10.1021/acs.inorgchem.9b01408,ok,
10.1021/ic500234r,yes,Attempted to fabricate nanoscale version of 2; repeated attempts did not materialize.,,,Zn(NO3)2·6H2O,,"0.1 mmol, 0.030 g",0.1,mmol,,,,,,,,,,,"biphenyl-4,4'-dicarboxylic acid",H2bpdc,"0.1 mmol, 0.024 g",0.1,mmol,"4,4′-azobipyridine",azpy,"0.05 mmol, 0.009 g",0.05,mmol,,,,,,,,,,,,,,,,dimethylformamide,DMF,"DMF/ethanol (1:1 v/v), 10 mL total",10,ethanol,EtOH,"DMF/ethanol (1:1 v/v), 10 mL total",,80,80 °C,72,3 days,glass vial (30 mL),,"DMF, ethanol",several times,Activated at 150 °C under 1×10−1 Pa vacuum for 12 h prior to adsorption measurements,150,12,dark red block-shaped crystals,87,,pcu,Zn2(COO)4 paddle-wheel SBU (dinuclear),"triclinic, P-1; a=15.2090(4) Å, b=15.2245(4) Å, c=15.8758(4) Å, α=92.427(1)°, β=99.183(1)°, γ=90.052(1)°",,235,not_reported,not_reported,325,CO2_capture,10.1021/ic500234r,ok,
10.1021/ic500234r,yes,Attempted to fabricate nanoscale version of 2; repeated attempts did not materialize.,,,Zn(NO3)2·6H2O,,"0.1 mmol, 0.03 g",0.1,mmol,,,,,,,,,,,"biphenyl-4,4'-dicarboxylic acid",H2bpdc,"0.1 mmol, 0.024 g",0.1,mmol,"4,4′-azobipyridine",azpy,"0.2 mmol, 0.036 g",0.2,mmol,,,,,,,,,,,,,,,,"N,N-diethylformamide",DEF,"DEF/2-methoxyethanol (1:1 v/v), 10 mL total",10,2-methoxyethanol,,"DEF/2-methoxyethanol (1:1 v/v), 10 mL total",,120,120 °C,72,3 days,glass vial (30 mL),,"DMF, 2-methoxyethanol",several times,Activated at 170 °C under 1×10−1 Pa vacuum for 12 h prior to adsorption measurements,170,12,dark red crystals,75,,,Zn3(μ2-OCO)2(COO)4 trinuclear SBU,"monoclinic, P21/n; a=14.1046(5) Å, b=19.9260(7) Å, c=25.9898(9) Å, α=90°, β=90.005(1)°, γ=90°",,200,not_reported,not_reported,345,CO2_capture,10.1021/ic500234r,ok,
10.1021/ic500234r,yes,Attempted to fabricate nanoscale version of 2; repeated attempts did not materialize.,MOF1N,,Zn(CH3COO)2·2H2O,,"0.1 mmol, 0.022 g",0.1,mmol,,,,,,,,,,,"biphenyl-4,4'-dicarboxylic acid",H2bpdc,"0.1 mmol, 0.024 g",0.1,mmol,"4,4′-azobipyridine",azpy,"0.05 mmol, 0.09 g",0.05,mmol,,,,,,,,,,,,,,,,dimethylformamide,DMF,"DMF/ethanol (1:1 v/v), 10 mL total",10,ethanol,EtOH,"DMF/ethanol (1:1 v/v), 10 mL total",,80,80 °C,72,3 days,glass vial (30 mL),,"DMF, ethanol",several times,Activated at 150 °C under 1×10−1 Pa vacuum for 12 h prior to adsorption measurements,150,12,dark red powder; nanospheres,,"nanospheres, ~40 ± 20 nm diameter (agglomerated)",pcu,"Zn2(COO)4 paddle-wheel SBU (dinuclear), same as bulk 1",,,385,not_reported,not_reported,325,CO2_capture,10.1021/ic500234r,ok,
10.1002/ejic.201500133,yes,"Screened Zr salts/solvents/modulators; many conditions gave non-muconate phases or amorphous (e.g., high H2O equivalents).",ZrIV muconate,,ZrCl4,,"100 mg, 0.43 mmol",0.43,mmol,,,,,,,,,,,"trans,trans-muconic acid",,"61 mg, 0.43 mmol",0.43,mmol,,,,,,,,,,,water,H2O,"20 μL, 1.11 mmol",1.11,mmol,,,,,,dimethylformamide,DMF,3 mL,3,,,,,150,150 °C,24,24 h,sealed glass tube,static,acetone,,"150 °C under vacuum for 12 h; optional MeOH exchange 24 h, then 150 °C under vacuum 12 h",150,12,white precipitate,88,,,Zr6O4(OH)4 12-connected SBU,"cubic; a=20.950(9) Å, V=9194.5(14) Å3",,,not_reported,not_reported,250,,10.1002/ejic.201500133,ok,
10.1002/ejic.201500133,yes,"Screened Zr salts/solvents/modulators; many conditions gave non-muconate phases or amorphous (e.g., high H2O equivalents).",ZrIV muconate,,ZrCl4,,"100 mg, 0.43 mmol",0.43,mmol,,,,,,,,,,,"trans,trans-muconic acid",,"61 mg, 0.43 mmol",0.43,mmol,,,,,,,,,,,concentrated hydrochloric acid,HCl,"36 μL, 0.43 mmol",0.43,mmol,,,,,,dimethylformamide,DMF,3 mL,3,,,,,150,150 °C,24,24 h,sealed glass tube,static,acetone,,"150 °C under vacuum for 12 h; optional MeOH exchange 24 h, then 150 °C under vacuum 12 h",150,12,white precipitate,89,,,Zr6O4(OH)4 12-connected SBU,"cubic; a=21.082(7) Å, V=9369.8(22) Å3",,557,no,no,250,gas_storage;gas_separation,10.1002/ejic.201500133,ok,
10.1039/c7dt01084b,yes,"Without HAc modulator, UiO-66-PYDC showed almost undetectable XRD peaks and zero N2 uptake (poor crystallinity).",UiO-66,,ZrCl4,ZrCl4,462 mg (2 mmol),2,mmol,,,,,,,,,,,terephthalic acid,BDC,330 mg (2 mmol),1.9864,mmol,,,,,,,,,,,"hydrochloric acid (37%, 12 M)",HCl,0.31 mL (4 mmol),0.31,mL,,,,,,dimethylformamide,DMF,34 mL,34,,,,,120,120 °C,24,24 h,50 mL Schott reagent bottle,static,"DMF, then acetone",DMF wash; acetone 3×40 mL at 60 °C for 3 d,80 °C under vacuum for 24 h after solvent exchange,80,24,white powder,,,,Zr6O4(OH)4 cluster,,,1015,not_reported,not_reported,400,I2 delivery,10.1039/c7dt01084b,ok,
10.1039/c7dt01084b,yes,"Without HAc modulator, UiO-66-PYDC showed almost undetectable XRD peaks and zero N2 uptake (poor crystallinity).",UiO-66-PYDC,,ZrCl4,ZrCl4,0.233 g (1 mmol),1,mmol,,,,,,,,,,,"2,5-pyridinedicarboxylic acid",PYDC,0.168 g (1 mmol),1.00527,mmol,,,,,,,,,,,acetic acid,HAc,2 mL,2,mL,,,,,,water,H2O,8 mL,8,,,,,100,100 °C,24,24 h,20 mL screw glass bottle,static,H2O,three times at RT,ethanol exchange at 60 °C for 3 d; then 80 °C under vacuum for 24 h,80,24,white octahedra,,100–300 nm,,Zr6O4(OH)4 cluster,,,953,not_reported,yes,400,I2 delivery,10.1039/c7dt01084b,ok,
10.1039/c7dt01084b,yes,"Without HAc modulator, UiO-66-PYDC showed almost undetectable XRD peaks and zero N2 uptake (poor crystallinity).",UiO-66-PYDC,,ZrCl4,ZrCl4,0.233 g (1 mmol),1,mmol,,,,,,,,,,,"2,5-pyridinedicarboxylic acid",PYDC,0.168 g (1 mmol),1.00527,mmol,,,,,,,,,,,acetic acid,HAc,4 mL,4,mL,,,,,,water,H2O,6 mL,6,,,,,100,100 °C,24,24 h,20 mL screw glass bottle,static,H2O,three times at RT,ethanol exchange at 60 °C for 3 d; then 80 °C under vacuum for 24 h,80,24,white octahedra,,100–300 nm,,Zr6O4(OH)4 cluster,,,1030,not_reported,yes,400,I2 delivery,10.1039/c7dt01084b,ok,
10.1039/c7dt01084b,yes,"Without HAc modulator, UiO-66-PYDC showed almost undetectable XRD peaks and zero N2 uptake (poor crystallinity).",UiO-66-PYDC,,ZrCl4,ZrCl4,0.233 g (1 mmol),1,mmol,,,,,,,,,,,"2,5-pyridinedicarboxylic acid",PYDC,0.168 g (1 mmol),1.00527,mmol,,,,,,,,,,,acetic acid,HAc,6 mL,6,mL,,,,,,water,H2O,4 mL,4,,,,,100,100 °C,24,24 h,20 mL screw glass bottle,static,H2O,three times at RT,ethanol exchange at 60 °C for 3 d; then 80 °C under vacuum for 24 h,80,24,white octahedra,,100–300 nm,,Zr6O4(OH)4 cluster,,,859,not_reported,yes,400,I2 delivery,10.1039/c7dt01084b,ok,
10.1039/c7dt01084b,yes,"Without HAc modulator, UiO-66-PYDC showed almost undetectable XRD peaks and zero N2 uptake (poor crystallinity).",UiO-66-PYDC,,ZrCl4,ZrCl4,0.233 g (1 mmol),1,mmol,,,,,,,,,,,"2,5-pyridinedicarboxylic acid",PYDC,0.168 g (1 mmol),1.00527,mmol,,,,,,,,,,,acetic acid,HAc,8 mL,8,mL,,,,,,water,H2O,2 mL,2,,,,,100,100 °C,24,24 h,20 mL screw glass bottle,static,H2O,three times at RT,ethanol exchange at 60 °C for 3 d; then 80 °C under vacuum for 24 h,80,24,white octahedra,,100–300 nm,,Zr6O4(OH)4 cluster,,,648,not_reported,yes,400,I2 delivery,10.1039/c7dt01084b,ok,
10.1039/c7dt01084b,yes,"Without HAc modulator, UiO-66-PYDC showed almost undetectable XRD peaks and zero N2 uptake (poor crystallinity).",UiO-66-PYDC,,ZrCl4,ZrCl4,0.233 g (1 mmol),1,mmol,,,,,,,,,,,"2,5-pyridinedicarboxylic acid",PYDC,0.168 g (1 mmol),1.00527,mmol,,,,,,,,,,,,,,,,,,,,,acetic acid,HAc,10 mL (pure HAc),10,,,,,100,100 °C,24,24 h,20 mL screw glass bottle,static,H2O,three times at RT,ethanol exchange at 60 °C for 3 d; then 80 °C under vacuum for 24 h,80,24,white octahedra (diminished crystallinity),,100–300 nm,,Zr6O4(OH)4 cluster,,,190,not_reported,yes,400,I2 delivery,10.1039/c7dt01084b,ok,
10.1021/acs.cgd.9b00611,yes,At 60 °C no MOF formed; many conditions gave ZJU-28 or mixtures; Et4NBr gave inconsistent mixtures; phase-pure ZJU-28′ not obtained.,YCM-31,,InCl3,,"291 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,,,,,,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",H3BTB,"275 mg, 0.620 mmol, 0.47 equiv",0.62,mmol,,,,,,,,,,,spirocyclic piperidinium chloride,spPPCl,"232 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,dimethylformamide,DMF,18 mL,18,"1,4-dioxane",,12 mL,12,120,120 °C,24,24 h,glass scintillation vial with Teflon-lined cap,static,DMF,"3×, 10 mL each",dried in vacuo at room temperature,,,,,,hcb,[In(CO2R)3Cl]− tritopic SBU,,,,not_reported,no,,,10.1021/acs.cgd.9b00611,ok,
10.1021/acs.cgd.9b00611,yes,At 60 °C no MOF formed; many conditions gave ZJU-28 or mixtures; Et4NBr gave inconsistent mixtures; phase-pure ZJU-28′ not obtained.,YCM-32,,InCl3,,"291 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,,,,,,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",H3BTB,"275 mg, 0.620 mmol, 0.47 equiv",0.62,mmol,,,,,,,,,,,spirocyclic piperidinium bromide,spPPBr,"290 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,dimethylformamide,DMF,18 mL,18,"1,4-dioxane",,12 mL,12,120,120 °C,24,24 h,glass scintillation vial with Teflon-lined cap,static,DMF,"3×, 10 mL each",dried in vacuo at room temperature,,,,,,,[In(CO2R)3Cl]− tritopic SBU,,,,not_reported,no,,,10.1021/acs.cgd.9b00611,ok,
10.1021/acs.cgd.9b00611,yes,At 60 °C no MOF formed; many conditions gave ZJU-28 or mixtures; Et4NBr gave inconsistent mixtures; phase-pure ZJU-28′ not obtained.,YCM-32,,InCl3,,"291 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,,,,,,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",H3BTB,"275 mg, 0.620 mmol, 0.47 equiv",0.62,mmol,,,,,,,,,,,spirocyclic morpholinium bromide,spMPBr,"293 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,dimethylformamide,DMF,18 mL,18,"1,4-dioxane",,12 mL,12,120,120 °C,24,24 h,glass scintillation vial with Teflon-lined cap,static,DMF,"3×, 10 mL each",dried in vacuo at room temperature,,,,,,,[In(CO2R)3Cl]− tritopic SBU,,,,not_reported,no,,,10.1021/acs.cgd.9b00611,ok,
10.1021/acs.cgd.9b00611,yes,At 60 °C no MOF formed; many conditions gave ZJU-28 or mixtures; Et4NBr gave inconsistent mixtures; phase-pure ZJU-28′ not obtained.,YCM-32,,InCl3,,"291 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,,,,,,"4,4′,4″-benzene-1,3,5-triyl-tribenzoic acid",H3BTB,"275 mg, 0.620 mmol, 0.47 equiv",0.62,mmol,,,,,,,,,,,tetraethylammonium chloride,Et4NCl,"219 mg, 1.32 mmol, 1.00 equiv",1.32,mmol,,,,,,dimethylformamide,DMF,18 mL,18,"1,4-dioxane",,12 mL,12,120,120 °C,24,24 h,glass scintillation vial with Teflon-lined cap,static,DMF,"3×, 10 mL each",dried in vacuo at room temperature,,,,,,,[In(CO2R)3Cl]− tritopic SBU,,,,not_reported,no,,,10.1021/acs.cgd.9b00611,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Y-CU-45,,Y(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","242 mg, 1.53 mmol",1.53,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,"a=36.079 Å, Fd-3m",,,not_reported,not_reported,,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Lu-CU-45,,Lu(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","242 mg, 1.53 mmol",1.53,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,1060,not_reported,not_reported,550,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Yb-CU-45,,Yb(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","242 mg, 1.53 mmol",1.53,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,790,not_reported,not_reported,520,luminescence,10.1002/chem.202402363,ok,
10.1002/chem.202402363,yes,La–Sm analogues could not be obtained; dram vials sometimes gave no product or mixed phases (MOF-76 + RE-CU-45).,Tm-CU-45,,Tm(NO3)3,,0.31 mmol,0.31,mmol,,,,,,,,,,,"benzene-1,3,5-tricarboxylic acid",BTC,"13.5 mg, 0.065 mmol",0.065,mmol,,,,,,,,,,,"2,6-difluorobenzoic acid","2,6-dFBA","242 mg, 1.53 mmol",1.53,mmol,trifluoroacetic acid,TFA,0.3 mL (3.92 mmol),3.92,mmol,dimethylformamide,DMF,1.5 mL,1.5,,,,,130,130 °C,120,120 h (5 days),"25 mL reaction jar (PBT cap, PTFE seal)",static,"DMF, acetone",three times over 24 h (each solvent),60 °C under vacuum for 24 h,60,24,"light-yellow, octahedra",,,spn,RE6 6-connected SBU; μ3-F/μ3-OH bridges,,,970,not_reported,not_reported,520,luminescence,10.1002/chem.202402363,ok,
